901,Yuyue,1351467,China,CN
902,Tualeu,1365767,Indonesia,ID
903,Águas de Lindóia,2159305,Brazil,BR
904,Nova Prata,423794,Brazil,BR
905,Daveluyville,239509,Canada,CA
906,Santa Helena,1587308,Brazil,BR
907,Bhola,295035,Bangladesh,BD
908,Hanchang,2250609,China,CN
909,Heshan,1763308,China,CN
910,Vratsa,768595,Bulgaria,BG
911,Tutut,2549716,Indonesia,ID
912,Girang,2515945,Indonesia,ID
913,Fuzihe,1627375,China,CN
914,Dankama,1790546,Nigeria,NG
915,Duitama,1228658,Colombia,CO
916,Tamianglayang,2383059,Indonesia,ID
917,Tinampo,893257,Philippines,PH
918,Houston,2066496,United States,US
919,Qaraçuxur,1452619,Azerbaijan,AZ
920,San Luis,1221662,Cuba,CU
921,Novi Vinodolski,1563939,Croatia,HR
922,Komorów,1046145,Poland,PL
923,Haninge,111865,Sweden,SE
924,Paccha,751373,Peru,PE
925,Horad Barysaw,422651,Belarus,BY
926,Três Rios,2011754,Brazil,BR
927,Kemijärvi,1077439,Finland,FI
928,Huyang,926841,China,CN
929,Alqueva,2503623,Portugal,PT
930,Tabuadelo,1758573,Portugal,PT
931,Alvand,344712,Iran,IR
932,Utara,768270,Indonesia,ID
933,Sangiyn Dalay,822383,Mongolia,MN
934,Gucheng,763861,China,CN
935,Ké-Macina,2219811,Mali,ML
936,Matagami,516421,Canada,CA
937,Mucifal,1739221,Portugal,PT
938,Soledad,1495226,Colombia,CO
939,Bigaan,741077,Philippines,PH
940,Balakhta,1694251,Russia,RU
941,Dumbéa,2097026,New Caledonia,NC
942,Randuboto,761483,Indonesia,ID
943,Regidor,476824,Colombia,CO
944,Dadong’ao,2236092,China,CN
945,Nepalgunj,961732,Nepal,NP
946,Zinder,587964,Niger,NE
947,Baixi,277127,China,CN
948,Quillo,1265068,Peru,PE
949,Köln,362497,Germany,DE
950,Wuyang,2535995,China,CN
951,Swan Hills,2518675,Canada,CA
952,Tuanalepe,470907,Indonesia,ID
953,Casma,2308307,Peru,PE
954,Ngrowo,2397540,Indonesia,ID
955,Terentang,2502086,Indonesia,ID
956,Somerset East,275117,South Africa,ZA
957,Sampués,2294890,Colombia,CO
958,Karnice,483532,Poland,PL
959,Sinabang,1309596,Indonesia,ID
960,Częstochowa,1763334,Poland,PL
961,Sunchales,937737,Argentina,AR
962,Tong’an,2039344,China,CN
963,Józefów,1443287,Poland,PL
964,Babantar,1806892,Indonesia,ID
965,Liping,1765221,China,CN
966,Pinellas Park,1971282,United States,US
967,Korolëv Stan,554954,Belarus,BY
968,Chatturat,1964008,Thailand,TH
969,Wunat,1187625,Indonesia,ID
970,Viçosa,1411034,Brazil,BR
971,Woodford Hill,926798,Dominica,DM
972,Shuikou,1686516,China,CN
973,Krzykosy,502563,Poland,PL
974,Железный порт,2042659,Ukraine,UA
975,Tegalrejo,2193019,Indonesia,ID
976,Gembu,2184960,Nigeria,NG
977,Arshaluys,1472168,Armenia,AM
978,Niyang,2344411,China,CN
979,Pankshin,1298050,Nigeria,NG
980,Krajan Timur Suger Kidul,1636782,Indonesia,ID
981,Liuge,2330825,China,CN
982,Vänersborg,2183923,Sweden,SE
983,Pôrto Barra do Ivinheima,2244299,Brazil,BR
984,Paso de Carrasco,2460089,Uruguay,UY
985,Haninge,1768617,Sweden,SE
986,Budy,431956,Ukraine,UA
987,Boshchorbogh,720937,Tajikistan,TJ
988,Chikushino-shi,714091,Japan,JP
989,Surenavan,2269175,Armenia,AM
990,Kawaguchi,1075660,Japan,JP
991,Aquin,2051094,Haiti,HT
992,Oskarshamn,1104244,Sweden,SE
993,Nanchoc,1358029,Peru,PE
994,Heping,1713464,China,CN
995,Ngaoundéré,1982869,Cameroon,CM
996,Bojongaren,487975,Indonesia,ID
997,Fentange,1176570,Luxembourg,LU
998,Semerak,1552151,Indonesia,ID
999,Iecava,2541430,Latvia,LV
1000,Lubu,1011826,China,CN
